Segment ID,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
646,NB,5.0,26.0,24.0,19.75,16.5,24.75,69.25,118.75,140.75,187.0,219.25,192.0,236.5,242.5,256.5,257.0,276.75,262.0,203.5,163.25,138.0,90.25,71.5,43.5,36.25,3315.5
646,SB,5.0,30.5,26.75,18.25,16.25,28.0,34.5,75.75,127.75,178.5,203.75,209.75,235.75,258.25,285.75,270.25,311.0,319.5,248.25,202.75,167.25,99.5,72.5,42.5,33.5,3496.5
1416,NB,5.0,67.55555555555556,38.0,20.666666666666668,18.22222222222222,28.11111111111111,62.44444444444444,93.44444444444444,170.44444444444446,222.0,201.22222222222223,252.88888888888889,301.55555555555554,313.8888888888889,331.0,382.22222222222223,367.8888888888889,374.55555555555554,383.55555555555554,352.6666666666667,287.77777777777777,231.77777777777777,176.44444444444446,125.22222222222223,89.0,4892.555555555556
1416,SB,5.0,55.888888888888886,33.666666666666664,18.11111111111111,16.555555555555557,24.666666666666668,45.55555555555556,142.55555555555554,264.1111111111111,270.44444444444446,235.44444444444446,270.22222222222223,285.8888888888889,310.22222222222223,321.22222222222223,323.44444444444446,329.8888888888889,319.22222222222223,322.77777777777777,286.55555555555554,235.77777777777777,188.88888888888889,135.66666666666666,102.11111111111111,73.33333333333333,4612.222222222223
1421,NB,5.0,56.25,30.25,21.25,18.75,26.25,65.25,142.0,257.5,364.75,203.0,207.0,255.25,290.75,308.5,367.25,424.75,406.75,444.75,374.25,326.5,196.0,156.25,92.75,56.75,5092.75
1421,SB,5.0,51.25,30.25,22.25,19.25,24.0,44.75,161.0,373.5,342.0,223.0,232.25,263.25,283.5,279.75,337.0,376.0,384.0,376.0,358.25,304.75,171.25,124.0,83.0,66.75,4931.0
1883,NB,5.0,75.3,48.4,24.1,15.0,17.7,41.0,82.3,200.5,235.8,203.3,226.2,285.2,316.1,317.9,395.9,409.3,402.9,393.3,387.2,316.6,254.9,197.6,127.9,103.9,5078.3
1883,SB,5.0,46.6,28.4,16.7,10.5,23.3,55.8,158.8,343.6,269.6,243.9,257.4,260.8,299.8,293.2,309.6,302.9,305.0,293.5,285.1,233.5,170.6,128.0,97.7,74.0,4508.3
2147,NB,5.0,58.46153846153846,38.0,23.384615384615383,16.692307692307693,28.76923076923077,66.0,132.53846153846155,340.38461538461536,311.2307692307692,231.46153846153845,270.3076923076923,318.6923076923077,336.0769230769231,340.38461538461536,415.15384615384613,445.7692307692308,399.38461538461536,424.53846153846155,391.3076923076923,331.7692307692308,265.84615384615387,178.53846153846155,126.92307692307692,81.61538461538461,5573.2307692307695
2147,SB,5.0,62.92307692307692,38.38461538461539,24.076923076923077,21.076923076923077,28.692307692307693,64.3076923076923,185.84615384615384,344.53846153846155,311.3076923076923,245.30769230769232,288.9230769230769,297.6923076923077,315.0,335.84615384615387,386.3076923076923,396.0769230769231,384.46153846153845,372.3076923076923,360.3076923076923,316.2307692307692,223.69230769230768,160.92307692307693,111.53846153846153,79.6923076923077,5355.461538461538
2153,NB,5.0,59.69230769230769,44.46153846153846,26.46153846153846,22.23076923076923,31.53846153846154,82.53846153846153,147.15384615384616,301.53846153846155,387.0,263.9230769230769,272.9230769230769,306.61538461538464,332.61538461538464,352.0769230769231,348.9230769230769,410.53846153846155,393.3076923076923,398.7692307692308,392.53846153846155,342.46153846153845,257.3076923076923,198.6153846153846,157.6153846153846,103.0,5633.846153846154
